source_final_attribute_id,target_final_attribute_id,source_label,target_label,relation_type,edge_weight,max_llm_confidence,supporting_pair_count,supporting_pair_ids_json
merged_attr_59bd4319bdc1,attr_life_context_and_constraints__years_r_has_known_the_named3__6be118ec22,years r has known the named1,years r has known the named3,related_but_distinct,0.551,0.95,2,"[""pair_attr_life_context_and_constraints_ye__attr_life_context_and_constraints_ye__d0a9c52cd622"", ""pair_attr_life_context_and_constraints_ye__attr_life_context_and_constraints_ye__af7818004afe""]"
attr_domain_specific_overlays__who_would_r_have_voted_for_1980_election__ba58826b58,attr_domain_specific_overlays__who_would_r_have_voted_for_1984_election__b11000b2ea,who would r have voted for-1980 election,who would r have voted for-1984 election,related_but_distinct,0.493,0.85,1,"[""pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__b867481bfae5""]"
attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader1__a3dfc9fff7,attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader2__25b460afb1,r had an ongoing relationship with leader1,r had an ongoing relationship with leader2,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_r_h__attr_demographics_and_population_r_h__1f7be9d44cde""]"
merged_attr_60ce2e8911c9,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group5__e221d118be,how many years r born a member of informal group1,how many years r born a member of informal group5,related_but_distinct,0.551,0.95,2,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__af13d64146e3"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__0fe64a0af8bc""]"
attr_demographics_and_population__r_sibling_census_occupation_code_1980__f2597bdbbb,attr_demographics_and_population__r_sibling_census_occupation_code_2010__405be810ea,r sibling census occupation code (1980),r sibling census occupation code (2010),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_r_s__attr_demographics_and_population_r_s__1cf85b6c2e54""]"
attr_life_context_and_constraints__hobby_club2_meets_in_this_area__b0dd4ee81c,attr_life_context_and_constraints__hobby_club3_meets_in_this_area__e183f36e03,hobby club2 meets in this area,hobby club3 meets in this area,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__0eb98679f66b""]"
attr_demographics_and_population__region_of_aids_victim_3rd_closest_to_r__0e50788812,attr_demographics_and_population__region_of_aids_victim_closest_to_r__7a794bb011,region of aids victim 3rd closest to r,region of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_reg__attr_demographics_and_population_reg__08090b888c7b""]"
merged_attr_fab44dbd0e73,attr_life_context_and_constraints__other_group3_meets_in_this_area__d34302c726,other group1 meets in this area,other group3 meets in this area,related_but_distinct,0.551,0.95,2,"[""pair_attr_life_context_and_constraints_ot__attr_life_context_and_constraints_ot__fc0e6d131e53"", ""pair_attr_life_context_and_constraints_ot__attr_life_context_and_constraints_ot__e82335e93f50""]"
attr_demographics_and_population__is_12th_person_visitor_staying_elsewhere_now__fafb0c4ec2,attr_demographics_and_population__is_13th_person_visitor_staying_elsewhere_now__5335e437ae,is 12th person (visitor) staying elsewhere now?,is 13th person (visitor) staying elsewhere now?,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_is__attr_demographics_and_population_is__896b986d7769""]"
attr_life_context_and_constraints__which_group_meet_name4__39e7d77735,attr_life_context_and_constraints__which_group_meet_name5__470f2a4c8f,which group meet name4,which group meet name5,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__d7868e87da62""]"
attr_life_context_and_constraints__which_group_meet_name2__bf87911c3a,attr_life_context_and_constraints__which_group_meet_name3__a85101ef67,which group meet name2,which group meet name3,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__792e0d9379ad""]"
attr_demographics_and_population__sex_of_murder_victim_2nd_closest_to_r__a72ecf19ed,attr_demographics_and_population__sex_of_murder_victim_closest_to_r__ad31527af7,sex of murder victim 2nd closest to r,sex of murder victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__def6ebc55687""]"
attr_life_context_and_constraints__service_club1_meets_in_this_area__b07363beda,attr_life_context_and_constraints__service_club2_meets_in_this_area__3a35ee38ae,service club1 meets in this area,service club2 meets in this area,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_se__attr_life_context_and_constraints_se__d13c55aeac5f""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group4__9ecf93d07f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group5__e221d118be,how many years r born a member of informal group4,how many years r born a member of informal group5,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__8d67fafd5f4b""]"
attr_life_context_and_constraints__2nd_mention_what_mental_illness_is_imputed__896dee17d4,attr_life_context_and_constraints__3rd_mention_what_mental_illness_is_imputed__2150b91918,"2nd mention, what mental illness is, imputed","3rd mention, what mental illness is, imputed",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_2n__attr_life_context_and_constraints_3r__3fb0e576f404""]"
attr_demographics_and_population__is_11th_person_visitor_staying_elsewhere_now__0b46ece631,attr_demographics_and_population__is_12th_person_visitor_staying_elsewhere_now__fafb0c4ec2,is 11th person (visitor) staying elsewhere now?,is 12th person (visitor) staying elsewhere now?,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_is__attr_demographics_and_population_is__ffaa80120cde""]"
attr_life_context_and_constraints__years_r_has_known_the_named3__6be118ec22,attr_life_context_and_constraints__years_r_has_known_the_named4__3f4446c702,years r has known the named3,years r has known the named4,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ye__attr_life_context_and_constraints_ye__e23ceb708cb4""]"
attr_life_context_and_constraints__school_service_group1_meets_in_this_area__f6a37f1dc9,attr_life_context_and_constraints__school_service_group3_meets_in_this_area__d03ffea51e,school service group1 meets in this area,school service group3 meets in this area,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__5888b41220e2""]"
attr_life_context_and_constraints__informal_group2_meets_in_this_area__8aa1a044b7,attr_life_context_and_constraints__informal_group3_meets_in_this_area__db8cc14a7c,informal group2 meets in this area,informal group3 meets in this area,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_in__attr_life_context_and_constraints_in__5cada3fc559e""]"
attr_life_context_and_constraints__does_r_or_spouse_or_partner_supervise_anyone__68edab9865,attr_life_context_and_constraints__does_r_or_spouse_supervise_anyone__2bd859b4d2,does r or spouse or partner supervise anyone,does r or spouse supervise anyone,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__8aa610d1b7b8""]"
attr_demographics_and_population__race_of_aids_victim_2nd_closest_to_r__396fd7c769,attr_demographics_and_population__race_of_aids_victim_closest_to_r__dc04551e7a,race of aids victim 2nd closest to r,race of aids victim closest to r,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_rac__attr_demographics_and_population_rac__0c4a19801ecd""]"
attr_cognitive_and_capability_pro__highest_schl_grade_of_r_5th_child__be3874fd44,merged_attr_17c0385c417d,highest schl grade of r 5th child,highest schl grade of r 7th child,related_but_distinct,0.551,0.95,3,"[""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__5b24e9ed9bef"", ""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__27913b32657a"", ""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__47ad0c7fd3bf""]"
attr_domain_specific_overlays__who_would_r_have_voted_for_1980_election__ba58826b58,attr_domain_specific_overlays__who_would_r_have_voted_for_1988_election__6a8610e905,who would r have voted for-1980 election,who would r have voted for-1988 election,related_but_distinct,0.551,0.95,1,"[""pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__de33f7a4f777""]"
attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader2__25b460afb1,attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader3__746f0316a2,r had an ongoing relationship with leader2,r had an ongoing relationship with leader3,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_r_h__attr_demographics_and_population_r_h__87ceb86d29d9""]"
merged_attr_f291928aa313,attr_demographics_and_population__gender_of_12th_person_visitor__3c72026b85,gender of 10th person,gender of 12th person (visitor),related_but_distinct,0.551,0.95,2,"[""pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__a26556ce6f3e"", ""pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__48f449dfd9a4""]"
attr_life_context_and_constraints__minutes_per_week_using_work_computer_job__96b8633900,attr_life_context_and_constraints__minutes_per_week_using_work_computer_www__dfe203d729,minutes per week using work computer job,minutes per week using work computer www,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__92d774b89f2e""]"
attr_life_context_and_constraints__how_many_years_r_been_a_member_of_service_club1__9f94973f28,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_service_club5__526089738f,how many years r been a member of service club1,how many years r been a member of service club5,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__afe9682ba688""]"
attr_life_context_and_constraints__2nd_mention_cause_of_ner_break_feelings__41ed118737,attr_life_context_and_constraints__3rd_mention_cause_of_ner_break_feelings__69f4e10ac9,2nd mention cause of ner. break feelings,3rd mention cause of ner. break feelings,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_2n__attr_life_context_and_constraints_3r__879c22812c74""]"
attr_domain_specific_overlays__did_r_vote_in_1984_election__53a880c3a8,attr_domain_specific_overlays__did_r_vote_in_1988_election__a85a57e188,did r vote in 1984 election,did r vote in 1988 election,related_but_distinct,0.551,0.95,1,"[""pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__4b2fefbfade6""]"
attr_life_context_and_constraints__are_illegal_immigrants_rich_or_poor__4b8e925024,attr_life_context_and_constraints__are_legal_immigrants_rich_or_poor__0de52e9bf2,are illegal immigrants rich or poor,are legal immigrants rich or poor,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_ar__attr_life_context_and_constraints_ar__286c6df5a01b""]"
attr_life_context_and_constraints__school_service_group2_meets_in_this_area__c4b1b79cf2,attr_life_context_and_constraints__school_service_group3_meets_in_this_area__d03ffea51e,school service group2 meets in this area,school service group3 meets in this area,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__601161184c0a""]"
attr_demographics_and_population__region_of_murder_victim_2nd_closest_to_r__1ae79d6015,attr_demographics_and_population__region_of_murder_victim_closest_to_r__2c19fa226f,region of murder victim 2nd closest to r,region of murder victim closest to r,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_reg__attr_demographics_and_population_reg__aeaa5a179f0c""]"
attr_life_context_and_constraints__hobby_club1_meets_in_this_area__c91729a013,attr_life_context_and_constraints__hobby_club3_meets_in_this_area__e183f36e03,hobby club1 meets in this area,hobby club3 meets in this area,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ba6f9276f3c7""]"
attr_demographics_and_population__sex_of_leader1__aa00498bf5,attr_demographics_and_population__sex_of_leader2__fd33556a09,sex of leader1,sex of leader2,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__e9d05af5782d""]"
attr_demographics_and_population__age_of_murder_victim_2nd_closest_to_r__9a62909c48,attr_demographics_and_population__age_of_murder_victim_closest_to_r__87365589fe,age of murder victim 2nd closest to r,age of murder victim closest to r,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_age__ac1ca1f56c0b""]"
attr_demographics_and_population__sex_of_aids_victim_2nd_closest_to_r__ca16d15e8e,attr_demographics_and_population__sex_of_aids_victim_3rd_closest_to_r__0e2993c55a,sex of aids victim 2nd closest to r,sex of aids victim 3rd closest to r,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__b2e16909f8b4""]"
