node_id,node_type,label,category,subcategory,size,node_weight,evidence_weight,weight_basis,quality_tier,source_count
attr_behavioral_patterns_and_pref__how_often_do_you_try_new_products_services_or_experien__aee7fb3b22,attribute,"How often do you try new products, services, or experiences?",Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_often_does_r_call_best_friend__9446969d88,attribute,how often does r call best friend,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_brothers_or_sister_s_in_law__9f13398017,attribute,how often does r contact brothers or sister's-in-law,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_by_telephone_or_letter__83ed189a19,attribute,how often does r contact by telephone or letter,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_cousin__81313838d0,attribute,how often does r contact cousin,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_father_by_telephone__bed1bef369,attribute,how often does r contact father by telephone,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_god_parents__67988d8c46,attribute,how often does r contact god-parents,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_mother_by_telephone__7c040fa329,attribute,how often does r contact mother by telephone,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_nieces_and_nephews__9d1ff95500,attribute,how often does r contact nieces and nephews,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_parents_in_law__9c31ff72f2,attribute,how often does r contact parents-in-law,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_contact_uncles_or_aunts__0d40cf1b24,attribute,how often does r contact uncles or aunts,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_read_newspaper__0eb2630414,attribute,how often does r read newspaper,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_visit_best_friend__40eca104a4,attribute,how often does r visit best friend,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_visit_father__ae2aa1bcc8,attribute,how often does r visit father,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_visit_mother__aec1bd2e45,attribute,how often does r visit mother,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_visit_this_sister_or_brother__cef4623368,attribute,how often does r visit this sister or brother,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_does_r_visit_this_son_or_daughter__23fca5a5ec,attribute,how often does r visit this son or daughter,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_r_considered_pet_member_of_family__ea9e3d7f72,attribute,how often r considered pet member of family,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_r_considers_pet_member_of_family__cccec00aa6,attribute,how often r considers pet member of family,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_r_uses_bookmarks__3b56fc4352,attribute,how often r uses bookmarks,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_r_uses_web_directories__573b69b937,attribute,how often r uses web directories,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_r_s_friends_or_family_were_angry_with_r__1163ed7e96,attribute,how often r's friends or family were angry with r,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_you_and_your_spouse_organize_your_finances__3595f48b67,attribute,how you and your spouse organize your finances,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__indoor_vs_outdoor__ab6c2058d1,attribute,Indoor vs outdoor,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_3d_printing__b8feaaf883,attribute,Interest: 3D printing,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_activism__06ee1b7725,attribute,Interest: Activism,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_anime__e4b070ab5c,attribute,Interest: Anime,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_architecture__402b5ec3b0,attribute,Interest: Architecture,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_astrology__ff3db96b0d,attribute,Interest: Astrology,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_astronomy__375873404e,attribute,Interest: Astronomy,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_baking__4b3df86c58,attribute,Interest: Baking,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_birdwatching__e16b5c0f24,attribute,Interest: Birdwatching,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_board_games__13551e3999,attribute,Interest: Board games,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_calligraphy__15571bc05a,attribute,Interest: Calligraphy,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_camping__44a66b7ccd,attribute,Interest: Camping,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_cars__969a11cd39,attribute,Interest: Cars,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_chess__aedd90800c,attribute,Interest: Chess,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_coffee__a63e80b4c2,attribute,Interest: Coffee,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_collecting__c3259ac38e,attribute,Interest: Collecting,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_comics__127ff17320,attribute,Interest: Comics,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_cooking__e03c40d51f,attribute,Interest: Cooking,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_craft_beer__a62cc3be0f,attribute,Interest: Craft beer,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_cryptocurrency__2c4cc27dea,attribute,Interest: Cryptocurrency,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__interest_cycling__e72b1ec402,attribute,Interest: Cycling,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
